year,month,month_day,date_mm_dd_yyyy,any_birds_found_on_route_shift,route_shift,route_name,building_name,building_face_direction,species,found_dead_alive,picture_url_google_photos_album
2019,9,2019-09-17,2019-09-17,Yes,PM,Main Quad,Chemical & Life Sciences Laboratory_70,North,Unidentifiable,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNomIe2RM66Rpv7Kfd9YEESTjLirADCR0V9tYv3?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-17,2019-09-17,Yes,AM,North Quad,Beckman Institute_228,North,Bay-breasted Warbler_Setophaga castanea,Dead,https://photos.app.goo.gl/VBhRYogpH6rPUYLq7
2019,9,2019-09-17,2019-09-17,Yes,PM,North Quad,Beckman Institute_228,South,Unidentifiable,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMg_bewNuf8rYvTSX-01LY9J-85i5JuW6hIZTSL?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-17,2019-09-17,Yes,PM,North Quad,Electrical and Computer Engineering_409,East,Unidentifiable,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMz8NegxeLIOzGVvdrrTDjFV2__VnoI4qQjwrBI?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-17,2019-09-17,Yes,PM,North Quad,Electrical and Computer Engineering_409,South,Unidentifiable,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMqZCW0kTQqTQMbP9y7MhTm7deFdjAD3jbrgXak?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-17,2019-09-17,Yes,PM,North Quad,Micro and Nanotechnology Laboratory_237,East,Unidentifiable,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipONs_P3_9V6lvPp55cWNad8huheIsba5Ojei47Q?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-17,2019-09-17,Yes,PM,North Quad,Grainger Engineering Library Information Center_324,North,Unidentifiable,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOJ1iosJiTZgScrgOvfVBTaDEkVY9yfGll6H2lv?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-17,2019-09-17,Yes,PM,North Quad,Beckman Institute_228,South,Chestnut-sided Warbler_Setophaga pensylvanica,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPkXJF-uUyOBtEttHOGmDbC-VSN5PeDbR4r1e-N?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-17,2019-09-17,Yes,PM,North Quad,Beckman Institute_228,South,American Redstart_Setophaga ruticilla,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPNzKj-0vAqWuMSMSdmF6PBlxqQ8qr5U2u55YpD?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-17,2019-09-17,Yes,PM,North Quad,Micro and Nanotechnology Laboratory_237,East,Magnolia Warbler_Setophaga magnolia,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNQhV8QvFByAZdMeqhV3XGIJmCRUBCQ-LFMcPAT?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-17,2019-09-17,Yes,AM,South Quad,Temple Hoyne Buell Hall_339,West,Blackpoll Warbler_Setophaga striata,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNS0DXmWoEUMF7fVRdBpdP72qkuJzpZ7-001IA9?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-17,2019-09-17,Yes,AM,South Quad,Temple Hoyne Buell Hall_339,West,Ovenbird_Seiurus aurocapilla,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipO0GG2nfBfjKS4FXxCGdqMYK9DfQqmWp0EeCKMm?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-17,2019-09-17,Yes,AM,South Quad,Temple Hoyne Buell Hall_339,North,Tennessee Warbler_Oreothlypis peregrina,Alive,https://photos.google.com/photo/AF1QipPiE7MqAzvNjJfNbqh5wIguVBwro2GzERGJQG7m
2019,9,2019-09-17,2019-09-17,Yes,PM,South Quad,Agricultural Engineering Sciences Building_8,West,Swainson's Thrush_Catharus ustulatus,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOHEsjXt8H4X9VBtsd8xe-L1XsK_Waa4M4-r0s?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-17,2019-09-17,Yes,PM,South Quad,Krannert Art Museum_220,South,Red-eyed Vireo_Vireo olivaceus,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNFHHssy8FKOGP1rjPwG9lmN4yBZ-Vg11YxvX0?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
